Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Supplier Part Number,Capacitance (Farad),Manufacturer Part Number,Supplier,Manufacturer,Tolerance (%),Voltage Rated (Volt),Color,Voltage - Forward (Vf) (Typ),Fuse Holder,Voltage Rating - AC,Voltage Rating - DC,Current Rating (A),Resistance (Ohms),Puissance (Watts),Voltage - Dropout (Typical),Regulator Topology,Current - Limit (Min),Current - Output,Voltage - Output,Voltage - Input,Voltage - Output (Min/Fixed),Voltage - Input (Min),Voltage - Input (Max)
1,CAP CER 22PF 50V C0G/NP0 0805,885012007053,C205 C206 C215,885012007053,C0805,3,D,732-7848-1-ND,22pF,885012007053,Digikey,Wurth Electronics Inc.,±5%,50V,,,,,,,,,,,,,,,,,
2,CAP CER 22UF 6.3V X5R 0805,885012107005,C301,885012107005,C0805,1,D,732-7616-1-ND,22µF,885012107005,Digikey,Wurth Electronics Inc.,±20%,6.3V,,,,,,,,,,,,,,,,,
3,CAP CER 10UF 16V X5R 0805,885012107014,C304,885012107014,C0805,1,D,732-7624-1-ND,10µF,885012007027,Digikey,Wurth Electronics Inc.,±20%,16V,,,,,,,,,,,,,,,,,
4,CAP CER 1UF 25V X5R 0805,885012107015,C5 C7 C12 C17 C18 C20 C21 C31 C33 C35 C37 C39 C204 C208,885012107015,C0805,14,D,732-7625-1-ND,1µF,885012107015,Digikey,Wurth Electronics Inc.,±20%,25V,,,,,,,,,,,,,,,,,
5,CAP CER 4.7UF 25V X5R 0805,885012107018,C212 C302 C303,885012107018,C0805,3,D,732-7628-1-ND,4.7µF,885012107018,Digikey,Wurth Electronics Inc.,±20%,25V,,,,,,,,,,,,,,,,,
6,CAP CER 100PF 50V X7R 0805,885012207080,C6 C9 C10 C11,885012207080,C0805,4,D,732-8062-1-ND,100pF,885012207080,Digikey,Wurth Electronics Inc.,±10%,50V,,,,,,,,,,,,,,,,,
7,CAP CER 10000PF 50V X7R 0805,885012207092,C209,885012207092,C0805,1,D,732-8074-1-ND,10nF,885012207092,Digikey,Wurth Electronics Inc.,±10%,50V,,,,,,,,,,,,,,,,,
8,CAP CER 0.1UF 50V X7R 0805,885012207098,C1 C2 C3 C4 C8 C13 C14 C15 C16 C19 C22 C23 C24 C25 C26 C27 C201 C207 C210 C211 C213 C214,885012207098,C0805,22,D,732-8080-1-ND,100nF,885012207098,Digikey,Wurth Electronics Inc.,±10%,50V,,,,,,,,,,,,,,,,,
9,LED RED CLEAR 0805 SMD,150080RS75000,D203,150080RS75000,LED_0805_RED,1,http://katalog.we-online.de/led/datasheet/150080RS75000.pdf,732-4984-1-ND,,150080RS75000,Digikey,Wurth Electronics Inc.,,,RED,2V,,,,,,,,,,,,,,,
10,LED GREEN CLEAR 0805 SMD,150080VS75000,D201 D301 D302 D303,150080VS75000,LED_0805_GREEN,4,http://katalog.we-online.de/led/datasheet/150080VS75000.pdf,732-4986-1-ND,,150080VS75000,Digikey,Wurth Electronics Inc.,,,GREEN,2V,,,,,,,,,,,,,,,
11,LED YELLOW CLEAR 0805 SMD,150080YS75000,D202,150080YS75000,LED_0805_YELLOW,1,http://katalog.we-online.de/led/datasheet/150080YS75000.pdf,732-4987-1-ND,,150080YS75000,Digikey,Wurth Electronics Inc.,,,YELLOW,2V,,,,,,,,,,,,,,,
15,Male Locking Header 1x6 2.54mm,61900611121,J1 J2 J3 J4 J5 J6 J7 J8 J9 J28 J29,61900611121,61900611121,11,https://www.we-online.com/katalog/en/WTB_2_54_MALE_LOCKING_HEADER_6190XX11121,61900611121,,61900611121,Wurth,Wurth,,,,,,,,,,,,,,,,,,,
16,HEADER MALE DUAL ANGLE W/MNT 6P,649006227222,J19 J20 J21 J22 J23 J24 J25 J26 J30,649006227222,649006227222,9,http://katalog.we-online.de/em/datasheet/649006227222.pdf,732-1939-ND,,649006227222,Digikey,Wurth Electronics Inc.,,,,,,,,,,,,,,,,,,,
